Exposure,Type,Model,HR,CI_low,CI_high,p,N,Events,Exposed
Low economic satisfaction (subjective),Subjective,Unadjusted,1.864,1.735,2.003,0.0,10384,3074,3053
Low economic satisfaction (subjective),Subjective,Demographic,1.44,1.337,1.55,0.0,10384,3074,3053
Low economic satisfaction (subjective),Subjective,+ Health,1.272,1.167,1.388,0.0,8469,2373,2565
Low economic satisfaction (subjective),Subjective,+ Mediators,1.233,1.127,1.35,0.0,8412,2349,2531
Low household income (objective),Objective,Unadjusted,1.598,1.469,1.739,0.0,9055,2498,1994
Low household income (objective),Objective,Demographic,1.009,0.926,1.099,0.8431,9055,2498,1994
Low household income (objective),Objective,+ Health,0.94,0.852,1.036,0.213,7361,1947,1763
Low household income (objective),Objective,+ Mediators,0.948,0.859,1.048,0.2962,7307,1925,1748
Welfare receipt (objective),Objective,Unadjusted,2.649,2.233,3.142,0.0,10384,3074,229
Welfare receipt (objective),Objective,Demographic,1.308,1.099,1.557,0.0025,10384,3074,229
Welfare receipt (objective),Objective,+ Health,1.229,1.006,1.502,0.0439,8469,2373,184
Welfare receipt (objective),Objective,+ Mediators,1.203,0.981,1.475,0.0759,8412,2349,178
Low personal net assets (objective),Objective,Unadjusted,0.871,0.774,0.979,0.0204,6945,1796,1391
Low personal net assets (objective),Objective,Demographic,0.979,0.867,1.105,0.7304,6945,1796,1391
Low personal net assets (objective),Objective,+ Health,0.957,0.836,1.096,0.5259,5597,1419,1229
Low personal net assets (objective),Objective,+ Mediators,0.95,0.829,1.089,0.4618,5555,1404,1215
