Subgroup,HR,CI_low,CI_high,p,N,Events
Male,1.3310703339222592,1.1905343843869667,1.488195769129531,5.076331538859281e-07,4469,1427
Female,1.2348796185873225,1.1105461273392503,1.3731331233002764,9.760165357100262e-05,5676,1496
Age 45-64,1.2798174961766677,1.1041322373237807,1.483457115145892,0.0010571719419359565,6446,854
Age 65+,1.1852200362519285,1.0825587914996697,1.297616854958081,0.00023687313952420411,3699,2069
Married,1.3509957267972983,1.2266335016702044,1.4879664148576994,1.0221064936856312e-09,8072,1884
Not married,1.150432899322367,1.0132175924436573,1.3062306317158265,0.030571935499321787,2073,1039
Has pension,1.2580548649886436,0.9971818896364796,1.58717487729201,0.05284779773020781,884,326
No pension,1.2789930188689365,1.1786390192266307,1.387891555964971,3.584238452355153e-09,9261,2597
No chronic disease,1.2477694530568422,1.0968219775325092,1.4194907103196013,0.0007661353312567481,5529,1107
1+ chronic diseases,1.2980877143066283,1.1789029499293595,1.429321823424714,1.0997298648078509e-07,4616,1816
