Characteristic,"Overall
(N=10,384)","Low economic
satisfaction (Q1)
(N=3,053)","Higher economic
satisfaction (Q2-Q5)
(N=7,331)",P value
N,"10,384","3,053","7,331",
"Age, years, mean (SD)",61.0 (10.9),64.0 (11.2),59.8 (10.5),<0.001
"Female, %",56.4,61.1,54.5,<0.001
"Married, %",78.8,66.6,83.8,<0.001
"Education, %",,,,<0.001
  No formal/elementary,44.0,61.9,36.5,
  Middle school,15.5,14.0,16.2,
  High school,28.6,18.9,32.7,
  College or higher,11.8,5.0,14.6,
"Self-rated health (1-5), mean (SD)",3.6 (1.0),4.1 (1.0),3.4 (1.0),<0.001
"No. of chronic diseases, mean (SD)",0.7 (0.9),1.0 (1.1),0.6 (0.9),<0.001
"Hypertension, %",26.3,32.6,23.6,<0.001
"Diabetes, %",11.4,15.2,9.8,<0.001
"Cancer, %",2.2,3.1,1.9,<0.001
"Heart disease, %",4.5,6.8,3.5,<0.001
"Cerebrovascular disease, %",3.1,4.9,2.2,<0.001
"BMI, kg/m², mean (SD)",23.2 (2.8),23.1 (3.0),23.2 (2.7),<0.001
"Current smoker, %",18.8,20.8,17.9,<0.001
"Depression (CES-D), %",11.8,21.3,7.5,<0.001
"IADL limitations, mean (SD)",0.5 (1.7),0.9 (2.3),0.3 (1.3),<0.001
"Economic satisfaction (0-100), mean (SD)",48.6 (24.2),18.0 (11.9),61.3 (14.9),<0.001
"Household income (10,000 won), mean (SD)",2219.8 (2799.1),1142.3 (1526.8),2653.3 (3065.0),<0.001
"Welfare recipient (NBLSS), %",2.2,6.2,0.5,<0.001
"National Pension recipient, %",8.7,9.6,8.3,0.036
,,,,
"Follow-up years, mean (SD)",12.5 (4.5),12.0 (4.7),12.7 (4.5),
"Deaths during follow-up, n (%)","3,074 (29.6)","1,290 (42.3)","1,784 (24.3)",<0.001
