Exposure,Model,HR,CI_low,CI_high,p,N,Events,HR_CI
Low economic satisfaction (Q1),Unadjusted,1.8643081648066764,1.735387191871379,2.002806606874185,4.386907555111763e-65,10384,3074,1.86 (1.74-2.00)
Economic dissatisfaction (per 10-pt decrease),Unadjusted,1.1549327604207833,1.1383965354739387,1.1717091887826698,2.4637547671206826e-85,10384,3074,1.15 (1.14-1.17)
Welfare receipt (NBLSS),Unadjusted,2.648504643127369,2.2326013180779842,3.141885113059946,5.40679397323501e-29,10384,3074,2.65 (2.23-3.14)
Low economic satisfaction (Q1),Demographic-adjusted,1.4399080347595907,1.3374455556764997,1.5502202237432412,3.664082544095858e-22,10384,3074,1.44 (1.34-1.55)
Economic dissatisfaction (per 10-pt decrease),Demographic-adjusted,1.0846150593112491,1.0685538309674314,1.1009177009076674,1.3931506568515775e-26,10384,3074,1.08 (1.07-1.10)
Welfare receipt (NBLSS),Demographic-adjusted,1.308049464439945,1.099114562732224,1.5567016027595608,0.0024922086068914526,10384,3074,1.31 (1.10-1.56)
Low economic satisfaction (Q1),Health-adjusted,1.2846786994112334,1.1877796973743473,1.389482716676533,3.8307214037852283e-10,10144,2922,1.28 (1.19-1.39)
Economic dissatisfaction (per 10-pt decrease),Health-adjusted,1.0565817774925628,1.0396505408806638,1.0737887478841655,2.426526977469811e-11,10144,2922,1.06 (1.04-1.07)
Welfare receipt (NBLSS),Health-adjusted,1.2285533516593519,1.0209957431159637,1.4783052212020804,0.029255371507809463,10144,2922,1.23 (1.02-1.48)
Low economic satisfaction (Q1),Fully adjusted,1.267526390941159,1.1704413177526696,1.37266441927832,5.512977286237456e-09,9244,2879,1.27 (1.17-1.37)
Economic dissatisfaction (per 10-pt decrease),Fully adjusted,1.0527937596913237,1.0356355898378156,1.0702362021167775,8.436344864458031e-10,9244,2879,1.05 (1.04-1.07)
Welfare receipt (NBLSS),Fully adjusted,1.2116005620545496,1.0067578649020648,1.458122129608297,0.04223076866460982,9244,2879,1.21 (1.01-1.46)
